Utterance,Channel,ID
I want this to be a place where people can come and feel confident in what they're learning and feel safe asking their questions,General,62
The welcome messages have now been moved to arrivals. Thank you @Papa Kamis,General,63
?,general-questions,64
#deep_learning #conv_nets how to choose networks depth and width for a given input resolution?,general-questions,65
"1. what should the audio I record be like, eg. one continuous stream of me saying wake up over and over, vs one of me not saying it or saying different things, or one separate audio file for me saying wake up once per training example and one audio file of me saying something else per example? 2. what should the actual examples look like? random slices of data from the dataset, or actual full ""wake up"" clips to prevent the network from learning ""ke up"" or ""wake"" on their own? 3. how much data should I have, and what kind of model is the smallest possible?",general-questions,66
"Additional question, is splitting date into year/month/day better than just converting it into milliseconds? Additional context: I'm working with stock historical data.",general-questions,67
"Also, how do you normalize year? Wouldn't it make no sense since it would not take succeeding years into account?(edited)",general-questions,68
any ideas?,general-questions,69
any rule of thumb for guessing a good network size?,general-questions,70
basically i want to learn how fast the temperature changes without learning any patterns,general-questions,71
does anyone has any experience with mds?,general-questions,72
does anyone know how to do image embeddings without labels which doesnt involve just a CNN and triplet loss,general-questions,73
"Hello I'm new here and stuck on something - any insight appreciated. I can see via bar charts that when X falls within upper and lower quartiles I get significant change in the avg value of y (which is a % representing risk). I have around 10 such features I am evaluating. Using Random Forest Regressor (sklearn), I feed continuous X data (better result) and also try categorising X by quartile bucket (worse result). Am I using the right algo for for this scenario please? Can random forest understand that my features are predictive only when they have extreme values (I guess this is a non linear relationship)",general-questions,74
"Hello. I’m new here and wanted to ask a question specifically about feature engineering. When I google this topic, articles like to highlight that it is an extremely important part of machine learning (I would agree with that) but then they go on to focus on topics like data cleaning (dealing with missing data) extracting information (from names or street addresses), adding data (like if you have a location and time, you could add the weather) or removing useless data that can muddy the model. Certainly all important topics but there is one area I’m interested in that does not seem to be discussed. In one of the Kaggle learn sections they mention how one of the practice competitions is the loan defaults data set. The competition is designed to be setup as a black box where we are not meant to have an intimate knowledge of the data to build new features. They mention that someone figured out that, out of the hundreds of features, if you subtract 1 specific one from another, you created a new feature with high predictability. But they never discuss HOW it was found that those feature combinations had the dependency. So, TL;DR if you have a data set with hundreds or more columns, where you do not have an intuitive knowledge of the information, how can you go about finding potentially impactful combinations. I’m sure you could brute force it but if the data set was large enough, this would become computationally expensive right? Is there a statistical method for determining this?",general-questions,75
Hey guys I have small engine here where I record the temperature and load every minute. load increase -> temperature increase (slower) The thing is the temperature will be around roughly the same with a given load. but is there a way i can forecast the temperature ?,general-questions,76
Hey guys quick question. I’ve been looking through a lot of Keras models for LSTM and noticed they all have 2 train and test datasets labelled xtrain ytrain and xtest and ytest. What do each of these usually mean? Why can’t we just have all the data in one set? Why do we need and x and a y?,general-questions,77
"Hey guys, I plotted the loss, accuracy and validation accuracy per epoch, and I was just wondering if anyone had any ideas as to why the validation accuracy is fluctuating so wildly. I am absolutely aware that the model is fairly awful, just wondering as to why to it goes from 90 - 50 - 90 - 50... so often",general-questions,78
"Hey guys, I was playing around with train-test-split with the stratify parameter vs Stratified Shuffling and I was wondering if there was any difference between them?",general-questions,79
"Hey, I'm trying to upscale high res images using ESRGAN (by high res I mean ~4K images) but with pretrained model there's no improvement. Is it because network wasn't trained with large images ?",general-questions,80
"Hi ! i'm working in facial emotion detection with a new dataset .. But i'm a little bit lost .. If someone would like to help me, it'll be a pleasure and a great help hahaha ! I'm a girl from France , I study psychology and artificial intelligence .. Thank you !!",general-questions,81
"hi everyone ! im dealing with a forecast time series in r... i hope somenoe could help me. i have troubles to set the ts.... my query takes the data dialy, from yesterday to 56 days before, and my script to set the ts is : envios_ts <- ts(datos_envios$envios, start = c(2021,01),end = c(2021,56), frequency = 14) but when i plot this ts, the x axes goes to 2025.",general-questions,82
"hi everyone... this question may be silly, but im new in this wolrd so i have licence to be silly. is there a way to avoid neperian numbers like ""p-value: 5.297e-10""",general-questions,83
"hi guys, i have a question that i hope someone can help me solve this problem. I'm doing my capstone project, the project is about smart door lock using facial recognition. I have already built the API using Flask and OpenCV for capturing faces and training. After that, I don't know how to put the model to the Raspberry Pi for facial recognition. If you have any ideas, please let me know. Thanks for your help guys.",general-questions,84
"Hi guys, i trained a model on 50 classes of deepfood-101 end to end. Then I took out the dense layers and ended with GAP -> extracted features for training, testing and validation data. In order to be able to retrain the model for more classes, I took the extractor, extracted features for new classes (still food) and tried to train Dense layers on the union of old and new extracted data. If I try that with only old data, it trains approx to the same state as it was before. If I add the new classes, it just goes to accuracy of 0.02. I am starting to be really desperate and just can't find any reason why.",general-questions,85
"Hi guys! I want to develop an image database for machine learning, but not sure about relational (like SQL) or non relational(NoSQL) database, any thoughts? which one do you recommend me? the main idea is to do some processing on the images and finally sending into an app (probably Flutter)",general-questions,86
"Hi! does anyone know of a good tracker (object detection + tracking in frame sequence) that uses a few shot classifier? I wanted to use deep sort with Yolov3 but my problem is that I have very few images for most of my classes, I don't think Yolo would work very well with such skeewed classes would it? I'm trying to track animals in sequences of photos taken with trap cameras in the wild, I have to use a limited dataset (I can't just google more images of the animals) and there's very few (<5) pictures of some of the animals, any suggestions?",general-questions,87
How long would it take to train an RNN on 200MB of text? is 200MB too much to handle for google colab?,general-questions,88
How would I format a dataset for hot word detection?,general-questions,89
"I am new to ML and I have a basic general idea. I wanted to learn more about GANs and so I started with a book and took a simple DCGAN example. At first, I run the program provided by the book but it didn't work. After several days I found out that I had keras version 2.3.1 wheras the book uses 2.1.6. Once I downgraded back to 2.1.6, everything worked as expected. I am very curious to know what's going on, any ideas?",general-questions,90
"I am wondering if anyone is familiar with neural-style or neural-style-pt? I'm working with it, but getting some severe patchy splotchyness and I'm really hoping someone can help me understand the source of that splotchiness and how to fix it.",general-questions,91
I have a made a model using keras for OCR. I was wondering now what is the next step to use the model with data outside of the training and testing data. Do I need to make a model to extract features from a picture to find the text so it can pass the input to the model?,general-questions,92
"i have a MNIST handwritten dataset with RGB photos of size (90, 90)",general-questions,93
"I want a convnet to recognize when I say ""Wake up"", and when I say either anything else or nothing/background noise.",general-questions,94
If lets say the load was 700KWH for the last 20 minutes and the temperature is roughly around 40 degrees i would want the forecast to stay around 40,general-questions,95
if the temperature would have dropped lets say at t-5 to 200 i would like to forecast the temperature fall if the load would stay the same for my forecast,general-questions,96
"In NLP, how are two similar sentences ""grouped"" together, I can't remember which ML algorithm it was to measure their similarity. e.g. calculating similarity scores for “I like to tailgate when I go to the stadium” and “I like running when I go to the stadium”?",general-questions,97
"its my first approach to fc ts, and i surely doing first timers errors",general-questions,98
Model is MobileNetV3.,general-questions,99
"Need some help here: For image classification problems like cat vs dogs, the output layer is 2. Image classification problems like diabetic retinopathy seem to be more of a grading classifier. Although the targets range from 0 to 4, (signifying the severity of the condition), is it better to have 1 as the output layer, or 5, for these kinds of problems? I have seen Kaggle kernels where both are utilized.",general-questions,100
"One question In paper ""Alleviating catastrophic forgetting using context-dependent gating and synaptic stabilization"", it has been proposed a method named XdG. I think the idea is like dropout, right? If yes, what is the purpose of this paper? It is not new method or even idea in 2019! It has a beautiful name ""context-dependent gating"" but so..(edited)",general-questions,101
"right now I've tried random slices of data from continuous streams of me saying either the hot word or not, but the false positives and false negatives are waaaaaaaaaaay too many, and the architecture is more or less this one but with a sigmoid instead of a softmax and less feature channels https://pytorch.org/tutorials/intermediate/speech_command_recognition_with_torchaudio.html#define-the-network",general-questions,102
Something pretty like this one from the ResNet paper,general-questions,103
"train_generator = train_datagen.flow_from_directory( file_train, target_size=(256, 256), batch_size=16, class_mode='binary') is running slow for me, currently my files are stored in google drive, is there a faster way for me to store/load my files? I'm guessing I should just render them all to what my generator does, to reduce time doing image processing?",general-questions,104
"What kind of model is good for a task such as finding the optimal input matrix that when fed into a black box program gives the highest metric? The black box isn't random, but we don't know how it gives scores.",general-questions,105
"¡Hola! I'm Heriberto, from México.",Introduction,106
"Hei anuj, It seems we have same background. Can you tell me the application data science project in manufacturing field? I am very interested in it.",Introduction,107
Hello Aniket from India,Introduction,108
"Hello everyone ! I'm Kawtare, I'm from France, I study psychology and artificial intelligence ! I'm learning deep learning, machine learning ...",Introduction,109
hello everyone i am pavan mahajan from india,Introduction,110
Hello everyone I am Vineesh from India. I am working as project engineer in Oil and Gas industry. I am looking to transition into data science field and I have started working on it. Here to gain more insights and knowledge.,Introduction,111
hello everyone im a SME in statistics at chegg and also working as a data analyst at netomi,Introduction,112
"Hello Everyone, This is Abdurahman. I have a bachelor's degree in Software Engineering. I am currently doing my master's degree in Machine learning. I'm looking forward to sharing ideas and help each other with fellow scientists.",Introduction,113
Hello guy Big G from France,Introduction,114
"Hello, I am a compsci student gathering knowledge about AI and data science for future studies.",Introduction,115
"Hello, I'm Jon from the US",Introduction,116
"Hello, I'm yuki and I am trying to learn ML on my own, hopefully will grow with your support!",Introduction,117
"Hello, Im Rohan and I live in NY and I'm interested in ML(edited)",Introduction,118
"Hello, My name is Mert. I am Freshman CS student from Turkey. I have passion for Data Science and ML Engineering. I am improving myself in those areas",Introduction,119
Hello! I'm Artur from Brazil,Introduction,120
"Hello! My name is Christy, I am a recently graduated MSDS from Utica college and I currently work as an analyst in higher education. I have just started using Dataiku as a ML platform which has been quite interesting and complicated. I’m still new to all things machine learning, although I do have some skills and knowledge in their use, strengths and weakness.",Introduction,121
Hey everyone. I'm just a hobbyist who's interested in creating entertaining content using machine learning.,Introduction,122
Hi Ariel from Bolivia,Introduction,123
"Hi everyone, I am Kelvin from Nairobi, Kenya. Happy to be here, looking forward to learning a whole lot and sharing ideas with all of you.",Introduction,124
"Hi everyone, I am Mayowa. A Data Science student looking for knowledge,experience and maybe internships",Introduction,125
"Hi everyone, i'm beginner python programmer and i am interested in ML. Looking forward to meeting you guys!(edited)",Introduction,126
"Hi everyone, I'm Claudio and I'm in the process of graduating from an artificial intelligence Master degree. I'm looking for new insights and sources to keep up with the fastly-changing state of the art",Introduction,127
"Hi everyone. My name is Carter. I'm a solution analyst with Deloitte, and I do consulting work for gov't clients to solve analytics and data engineering problems. I primarily use R, Python, and PowerBI. I'm also a GCP-certified Data Engineer and am working on my AWS experience. I would like to serve as a resource for anyone who'd like help with R/RStudio, especially those who are working through R4DS or learning about the tidyverse. Please feel free to reach out and connect through Discord or LinkedIn and I'd love to network with you.",Introduction,128
"Hi, everyone, I am beginning to start learning machine learning. I need hints from where I can start learning. I know few algorithms like vanilla neural networks and linear regression",Introduction,129
"Hi, I'm Lena from Malaysia! I'm an actuarial science graduate who's trying to branch into ML. Nice to meet everyone!",Introduction,130
"Hi, Michael from Poland. Nice to meet you folks.",Introduction,131
"hiya this is Vivek from London, want to delve into AI/ML",Introduction,132
I know nothing of anything about AI right now but something I do want to look into is deep learning were the idea is the robot simply gets smarter long i keep it on.,Introduction,133
Is it from Andrew Ng? I have enrolled it. Do you mind give me another resource? Honestly i need project based learning resource.,Introduction,134
"Hello everyone, I am Quinten and I studied Physics and astronomy. After my studies I rolled into a data science carreer at a law firm. I joined to get in touch with fellow data oriented people :)",Introduction,135
Hi my name is Quincy. I recently graduated with a bachelor degree in computer science. I am currently taking on a course on data science and would like to have conversations with like minded people around that. I hope we get along and grow together,Introduction,136
"Hello everyone, I am Vishwas from India. I work as a Data Scientist in a Pharma company (ACG) working on problems related to IIOT applications in creating solutions related to predictive maintenance, anomaly detection and other machine learning topics related to IOT based applications.",Introduction,137
"Greeting everyone, this is Abdullah Khan from India... I recently completed my undergrad in commerce. I wanna transition my career into data science n I'm here to learn the same.",Introduction,138
Hello all. I'm just a hobbyist without a hobby. I just order a NVIDIA Jetson Nano (4G B01) and am very interested in learning all about AI. Odd but my love into this all started from seeing the Vector Robot. I want to see if I can build one which of course is a bit smarter. My hopes is to build a home robot which can act as a mouse and find stuff and take it back home. The base idea anyway.(edited),Introduction,139
"thanks for your advice, Sora",Introduction,140
"10 Amazing Python Hacks with Cool Libraries - datamahadev.com In this article, we will learn some amazing python hacks with some rare yet cool libraries. The main purpose of this article is to learn(or automate) a few basic things with the help of python. So, let us begin.",member-generated-content,141
10 python hacks you must know : https://datamahadev.com/10-amazing-python-hacks-with-cool-libraries/ datamahadev.com,member-generated-content,142
A good resource for inverse transformation sampling for those who need it.,member-generated-content,143
"Chatbots have always been so fascinating to me. I was always curious to study about chatbots. Today, I am happy to share that my first try at ""building a Retrieval based Chatbot"" is successful. Oh yes! I created my first chatbot. Feel free to share your feedback. You can find the code and complete documentation for this chatbot project from the link below. https://datamahadev.com/building-a-chatbot-in-python/",member-generated-content,144
"Creating a Custom R Package I don’t know about you, but I find the method that R uses to sort data frames incredibly non-intuitive. Every time I wanted to sort a data…",member-generated-content,145
"Finished my article on the scalping market for Big Navi/RDNA2 GPUs. It is far, far smaller than the RTX 30 series market. https://dev.to/driscoll42/big-navi-rdna2-series-scalping-market-analysis-2c3k Summary: * 3,461 RDNA2 GPUs sold on eBay/StockX * $3.95 million in sales on eBay/StockX for ~$944k in profit for scalpers and $615k for eBay/PayPal/StockX * 6800 XT price increased 17% since 1/1 while 6900 and 6800 only increased 7% * RX 5000 and Vega cards have increased 33% or more since 1/1",member-generated-content,146
"Have you ever thought of building your chatbot? If you have, then this project is going to be your first step in the innovative field of chatbots.",member-generated-content,147
"hello everyone, you can check out my article about scikit learn design. https://burcukoculu.medium.com/scikit-learn-design-with-easy-explanation-b3bcb060580",member-generated-content,148
Hello Everyone. I have written a blog on image similarity without using any fancy techniques such as CNNs and more. It uses pure maths and basic programming and the results are pretty good. Please do give it a read. https://www.analyticsvidhya.com/blog/2021/03/a-beginners-guide-to-image-similarity-using-python/ I am also new to this group but I aim to learn a lot from you guys. Thank you everyone,member-generated-content,149
"hey everyone , recently i published a blog on Survival Functions, would appreciate if you guys can check it out https://medium.com/p/survival-functions-101-bd57fb8be888?source=email-2d5085b9e12f--writer.postDistributed&sk=74d03f5707b3b48f5d8a4c7a07299b85",member-generated-content,150
"Hey everyone, I just finished the first chunk of this project: https://github.com/CharlesAverill/satyrn, an alternative to jupyter notebooks that allows you to run cells in parallel. It’s especially useful in the data science field as you can process unrelated data in parallel, often greatly speeding up total runtime. However there’s no UI yet, it’s completely command-line-based. If anyone wants to join the project and help build the frontend, I would greatly appreciate it. Thank you!",member-generated-content,151
"Hey everyone! A bunch of us got fed up with how rigid the PyTorch dataloader can be at times. We ended up building some scaffolding around the DataLoader class, to enable things like dynamic labels (we use a JSON file to label images, rather than subfolders in a dataset), loading a subset of a dataset, being able to pre-process an image using a custom function (do we want to generate a bunch of crops per source image before loading?) and so on. We're calling it BetterLoader, and I would love to hear what you all think and whether you think a project like this would be helpful. We're finding it useful within our deep learning workflows, and would appreciate a star if you think it would be too  https://github.com/binitai/betterloader(edited)",member-generated-content,152
Hey everyone! This is a project of mine that I have been working on. It is a video captioning project. This encoder decoder architecture is used to generate captions describing scene of a video at a particular event. Here is a demo of it working in real time. Check out my Github https://shreyz-max.github.io/Video-Captioning/. Thanks!,member-generated-content,153
"Hey, everyone! My professor and I developed a simulator for swarm robots in C/C++ and had a fair bit of success. Now I am thinking of implementing a buddy system for the robots where the 2 robots will work together within the swarm and would be considered as a single entity. I am looking for someone who would be interested in mentoring me towards my objective",member-generated-content,154
"Hi  I wrote a short article introducing ""8 Simple Techniques to Prevent Overfitting"" in Machine Learning for beginners. Hope a few of you may find the toolbox of methods to battle overfitting helpful  https://towardsdatascience.com/8-simple-techniques-to-prevent-overfitting-4d443da2ef7d",member-generated-content,155
"Hi all, I just published an article via Towards Data Science on an intriguing CVPR 2020 paper, feel free to check it out! https://towardsdatascience.com/oops-predicting-unintentional-action-in-video-87626aab3da3?source=social.tw",member-generated-content,156
https://github.com/doccano/doccano - open source text annotation,member-generated-content,157
https://myrtle.ai/how-to-train-your-resnet-8-bag-of-tricks/(edited),member-generated-content,158
"https://pypi.org/project/satyrn-python/0.8.5/ A jupyter alternative I wrote that supports backend multithreading and branching code, along with network co-editing.",member-generated-content,159
"https://towardsdatascience.com/the-viola-jones-algorithm-7357c07d8356 Hello everyone I wrote a blog on Viola Jones algorithm which is a foundation for many applications like Object detection, Face detection and many more, your feedback would be highly appreciated!",member-generated-content,160
https://www.scratchapixel.com/lessons/mathematics-physics-for-computer-graphics/monte-carlo-methods-mathematical-foundations/inverse-transform-sampling-method,member-generated-content,161
I created an awesome list of Discord communities related to everything programming https://github.com/mhxion/awesome-programming-discord#machine-learning The link takes you to the machine learning section. Hope this resource is helpful. Contributions or any feedback welcome.,member-generated-content,162
"I've just written my first article on Medium, detailing the basics of creating a package in R. I'd appreciate any feedback. https://dikbrown.medium.com/creating-a-custom-r-package-9a2e303d3332",member-generated-content,163
"Image segmentation is like an advanced form of classification. In Classification, we used to classify pictures into classes. In the case of image segmentation, we classify each pixel of the image into different classes Tutorial to start Image Segmentation using transfer learning using Labelme dataset.",member-generated-content,164
"Image Similarity | Implement Image Similarity in Python Image similarity is topic not talked about in the field of computer vision. In this article, let us understand Image similarity in Python",member-generated-content,165
Introducing pyradox: a python library that helps you with implementing various state of the art neural networks in a totally customizable fashion using TensorFlow 2. You can find pyradox here: https://github.com/Ritvik19/pyradox Check out how it can be used to Detect location of Keypoints on face images: https://ritvik19.medium.com/facial-key-points-detection-using-pyradox-f2a6cf6a862f Don't forget to  the repo!,member-generated-content,166
"Introducing vizard: a python library that helps you create Intuitive, Easy and Quick Visualizations for Data Science Projects. You can find vizard here: https://github.com/Ritvik19/vizard Check out how it can be used in your data science projects Don't forget to  the repo!",member-generated-content,167
"Just wanted share my notes, in case they're useful to anyone: https://github.com/jinayshah7/AAIC-Notes I only have handful of them right now, but I'm adding new ones everyday. Encoder-Decoders, Attention, Transformers, BERT, Image Segmentation, etc. Just to name a few.",member-generated-content,168
Line art with GAN. https://twitter.com/Vijish68859437/status/1319185184739061760?s=19,member-generated-content,169
Nlp repo contain all my current progress from visualisations to custom attentions layers https://github.com/evilc3/NLP_V2 #nlp,member-generated-content,170
python notebook tutoriel on kaggle for EDA https://www.kaggle.com/hoodkaggle/eda-pyplot-seaborn-gold-diggerdata,member-generated-content,171
"Reformer, which was proposed in the paper Reformer: The Efficient Transformer by Google Research, essentially addresses some efficiency constraints of the Transformer model and proposes an improved version of the Transformer that implements Locality Sensitive Hashing (LSH) and Reversible Layers to make the model much more efficient. I’ve made a kaggle kernel implementing the Reformer Model for Named Entity Recognition(NER). Please review the notebook and tell suggestions. https://www.kaggle.com/sauravmaheshkar/trax-ner-using-reformer",member-generated-content,172
Samiksha Bhavsar,member-generated-content,173
Scikit-Learn Design with Easy Explanation I think we all can agree that Scikit-learn is the main machine learning library for Python. It’s actually beginner friendly library…,member-generated-content,174
So i made a deep learning project and even made a video for it https://youtu.be/e4w8W9l1MBk here is the source: https://github.com/fvviz/Digit-recognizer,member-generated-content,175
So im finally done with this project i was working on. It lets you play Rock Paper scissor with your computer.Feedback would be awesome video : https://youtu.be/41Q9lkhiZ9Y source code : https://github.com/fvviz/Rock-paper-scissor,member-generated-content,176
"Today I published an article in DataBulls. Hop onto the link if you want to learn the basic concepts of Neural Networks DataBulls are a growing team of individuals striving to present meaningful outcomes with the help of data. If you're interested to become a part of this community, check out the link below to apply for authorship. https://medium.com/data-myths-and-facts/overview-of-neural-networks-84382d068d78 https://medium.com/data-myths-and-facts/come-write-with-us-as-a-dataprofessional-or-enthusiast-771a641c4a48",member-generated-content,177
"Toon-Me, Toon Portraits. GitHub link: https://github.com/vijishmadhavan/Toon-Me",member-generated-content,178
"Top 6 AutoML Frameworks - datamahadev.com In this era of automation, why couldn’t you automate these machine learning pipelines to save time and effort? This is where AutoML frameworks come into the picture. This article will introduce you to the 6 most popular AutoML frameworks.",member-generated-content,179
i ve been trying to do a 2d NN (global bathymetry) regression using Tensorflow for a while now.(edited),Off-topic,180
you should share some results when you're happy with the model. i'm curious to see how you approach that problem,Off-topic,181
"you're really big on hydration, eh?",Off-topic,182
that's hella chill,Off-topic,183
